Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Nigiri,,,Boiled octopus,,煮蛸,,,
Nigiri,,,Yellowtail,,鰤,,,
Nigiri,,,Salmon,,鮭,,,
Nigiri,,,Horse mackerel,,鯵,,,
Nigiri,,,Yellow jack,,縞鯵,,,
Nigiri,,,Mackerel,,鯖,,,
Nigiri,,,Vinegared mackerel,,しめ鯖,,,
Nigiri,,,Sardine,,鰯,,,
Nigiri,,,Halfbeak,,針魚,,,
Nigiri,,,Amberjack,,間八,,,
Nigiri,,,Sea urchin,,雲丹,,,
Nigiri,,,Flounder,,平目,,,
Nigiri,,,Sea bream,,真鯛,,,
Nigiri,,,Salmon roe,,イクラ,,,
Nigiri,,,Shrimp,,海老,,,
Nigiri,,,Sweet shrimp,,甘海老,,,
Nigiri,,,Whiskered velvet shrimp,,赤エビ,,,
Nigiri,,,Japanese glass shrimp,,白えび,,,
Nigiri,,,Japanese tiger prawn,,車海老,,,
Nigiri,,,Japanese spiny lobster,,伊勢海老,,,
Nigiri,,,Herring roe,,数の子,,,
Nigiri,,,Conger eel,,穴子,,,
Nigiri,,,Boiled conger eel,,煮穴子,,,
Nigiri,,,Japanese eel,,鰻,,,
Nigiri,,,Sea eel・pike conger,,鱧,,,
Nigiri,,,Cockle,,鳥貝,,,
Nigiri,,,Scallop,,帆立,,,
Nigiri,,,Ark shell,,赤貝,,,
Nigiri,,,Abalone,,鮑,,,
Nigiri,,,Crab (brown meat from inside shell),,蟹ミソ,,,
Nigiri,,,Flying fish roe,,飛魚の卵,,,
Nigiri,,,Gizzard shad (fish),,小肌,,,
Nigiri,,,Mantis shrimp,,蝦蛄,,,
Nigiri,,,Japanese omelette,,玉子,,,
Nigiri,,,Green onion shoots,,芽ねぎ,,,
Nigiri,,,Chopped tuna and green onion,,ねぎトロ,,,
Maki,Sushi menu - Maki,0 - Vocab,Sushi rolls,,巻き寿司,,,
Maki,,,Tuna sushi roll,,鉄火巻,,,
Maki,,,Tuna (medium-fat) roll,,中トロ鉄火巻き,,,
Maki,,,Tuna and fatty tuna sushi roll,,とろ鉄火,,,
Maki,,,Pickled white radish sushi roll,,新香巻,,,
Maki,,,Natto (fermented soybeans) sushi roll,,納豆巻,,,
Maki,,,Crab salad sushi roll,,カニサラダ巻,,,
Maki,,,Shrimp salad sushi roll,,エビサラダ巻,,,
Maki,,,Salmon salad sushi roll,,サーモンサラダ巻,,,
Maki,,,Salmon and avocado sushi roll,,アボカドサーモン巻,,,
Maki,,,Tuna and avocado sushi roll,,アボカドマグロ巻,,,
Maki,,,Fresh wasabi sushi roll,,生ワサビ巻,,,
Maki,,,Grilled eel and cucumber sushi roll,,うなキュー巻,,,
Maki,,,Cucumber roll,,きゅうり巻,,,
Maki,,,Shiso leaf roll,,しそ巻,,,
Maki,,,Squid and cucumber roll,,イカきゅうり巻,,,
Maki,,,Tuna and cucumber roll,,鉄きゅう巻,,,
Maki,,,Grilled conger eel roll,,穴子きゅうり巻,,,
Maki,,,Chopped tuna and green onion roll,,ネギトロ巻,,,
Maki,,,Seafood roll,,海鮮上巻,,,
Gunkan Sushi,Sushi menu - Gunkan Sushi,0 - Vocab,Gunkan sushi (rice wrapped in seaweed with a topping),,軍艦,,,
Gunkan Sushi,,,Natto,,納豆軍艦,,,
Gunkan Sushi,,,Chopped tuna and green onion,,ネギトロ軍艦,,,
Gunkan Sushi,,,Salmon roe,,いくら軍艦,,,
Gunkan Sushi,,,Sea urchin,,生うに軍艦,,,
Pressed Sushi,Sushi menu - Pressed Sushi,0 - Vocab,Pressed sushi,,棒寿司,,,
Pressed Sushi,,,Bo-zushi with mackerel,,松前,,,
Pressed Sushi,,,Vinegared mackerel block sushi,,バッテラ,,,
Pressed Sushi,,,Rice with grilled conger eel,,穴子棒寿司,,,
Pressed Sushi,,,Seared cured mackerel sushi,,炙りきずし（鯖）,,,
Other,Sushi menu - Other,0 - Vocab,Assoted Nigiri Sushi,,寿司盛り合わせ,,,
Other,,,Sushi (5 pieces),,寿司5貫,,,
Other,,,Regular,,並,,,
Other,,,Regular Large serving,,並一半,,,
Other,,,Deluxe,,上,,,
Other,,,Deluxe Large serving,,上一半,,,
Other,,,Superfine,,特上,,,
Other,,,Specials,,特選,,,
Other,,,A la carte,,一品料理・小鉢,,,
Other,,,Steamed egg custard,,茶碗蒸し,,,
Other,,,Boiled octopus,,タコブツ,,,
Other,,,Vinegared octopus,,たこの酢の物,,,
Other,,,Okizuke Firefly squid (marinated in soy sauce & sake with special sauce),,ホタルイカの沖漬け,,,
Other,,,Raw tuna with egg yolk,,マグロユッケ,,,
Other,,,Seafood with egg yolk,,海鮮ユッケ,,,
Other,,,Grilled Japanese Tiger Prawn,,車海老の焼き,,,
Other,,,Dobin-mushi (traditional Japanese broth),,土瓶蒸し,,,
Other,,,Assorted tempura,,天ぷら盛り合わせ,,,
Other,,,Sauteed Asparagus,,アスパラソテー,,,
Other,,,Oil Sardine,,オイルサーディン,,,
Other,,,Grilled Japanese eel with sweet soy sauce,,うなぎの蒲焼き,,,
Other,,,Grilled turban shell,,サザエつぼ焼き,,,
Other,,,Whale bacon,,鯨ベーコン,,,
Other,,,Octopus marinated in salty chilli sauce,,蛸の塩辛,,,
Other,,,Other seasonal ingredients,,他季節物色々,,,
Other,,,Clear soup,,お吸い物,,,
Other,,,Red miso soup,,赤だし,,,
Other,,,Drink,,お飲み物,,,
Other,,,Green tea,,緑茶,,,
Other,,,Draft beer,,生ビール,,,
Other,,,Bottle beer,,瓶ビール,,,
Other,,,Sake,,日本酒,,,
Other,,,Cask sake,,樽酒,,,
Other,,,Shochu,,焼酎,,,
Other,,,Barley shochu,,麦焼酎,,,
Other,,,Sweet potato,,芋焼酎,,,
Other,,,Raw sugar,,黒糖焼酎,,,
Other,,,Whisky,,ウイスキー,,,
Other,,,Plum liquor,,梅酒,,,
Other,,,Fruit liquor,,果実酒,,,
Other,,,Fruit cocktail,,チューハイ,,,
Other,,,Soft drink,,ソフトドリンク,,,
Other,,,Takeout Menu,,持ち帰りメニュー,,,
Other,,,Seafood assortment,,海鮮オードブル,,,
Other,,,1 piece per plate,,一皿一貫,,,
Other,,,1-piece and 2-piece plates are available.,,1貫と2貫が有ります。,,,
Other,,,Please order per plate (not per piece).,,皿数注文です。,,,
Other,,,All listed prices are including tax.,,表記の金額は税込価格です。,,,
Other,,,All listed prices are excluding tax.,,表記の金額は税別価格です。,,,
Other,,,Thank you for coming.,,ご来店ありがとうございました。,,,
Other,,,We hope you’ll visit us again.,,またお越しください。,,,
Other,,,Sushi.,,寿司,,,
